"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"50101",0.2,50.975364,-4.291091
2023-09-01,"50103",1,50.880864,-4.152815
2023-09-01,"50105",1.8,50.703195,-3.977548
2023-09-01,"50106",0.6,50.737466,-3.91805
2023-09-01,"50109",7.1,50.985116,-3.661811
2023-09-01,"50110",0.8,51.016891,-3.822629
2023-09-01,"50111",0.2,51.163435,-3.937101
2023-09-01,"50112",0.5,51.219415,-3.751859
2023-09-01,"50187",0.9,50.909721,-4.380331
2023-09-01,"50188",0.4,51.178491,-4.106562
2023-09-01,"50194",0.6,51.024089,-4.236452
2023-09-01,"50199",3.5,50.873373,-3.798545
2023-09-01,"510001",2,51.838464,0.162023
2023-09-01,"51102",0.764,51.117739,-3.349372
2023-09-01,"51124",2.489,51.207152,-3.536655
2023-09-01,"51125",4.439,51.193548,-3.612054
2023-09-01,"51126",2.6,51.124753,-3.200962
2023-09-01,"51127",4.53,51.163886,-3.611019
2023-09-01,"52100",1.2,51.054044,-3.336105
2023-09-01,"52101",0.999,50.971757,-3.122948
2023-09-01,"52102",4.851,51.064754,-2.737025
2023-09-01,"52103",1,50.902608,-2.632068
2023-09-01,"52105",2.658,51.134741,-2.999693
2023-09-01,"52129",2,50.875913,-2.981351
2023-09-01,"52147",2.674,51.053779,-2.892367
2023-09-01,"52148",1.4,50.853381,-2.745053
2023-09-01,"52149",0.599,50.937299,-2.527224
2023-09-01,"52150",4.4,51.005958,-2.643449
2023-09-01,"52201",1.4,51.270102,-2.682969
2023-09-01,"52203",0.2,51.408672,-2.666341
2023-09-01,"52210",7.2,51.116625,-2.434971
2023-09-01,"52222",8.597,51.133861,-2.392257
2023-09-01,"52223",0.215,51.393485,-2.917648
2023-09-01,"52224",6.1,51.173877,-2.508462
2023-09-01,"52225",0.599,51.260327,-2.806074
2023-09-01,"52227",2.157,51.183161,-2.90631
2023-09-01,"52228",0.2,51.440951,-2.8222
2023-09-01,"53100",0.2,51.633453,-2.15382
2023-09-01,"53101",0,51.602099,-2.455479
2023-09-01,"53102",0.183,51.549024,-2.052583
2023-09-01,"53103",0.29,51.530109,-1.896872
2023-09-01,"53104",0.2,51.538159,-2.480793
2023-09-01,"53106",0.4,51.474338,-2.127367
2023-09-01,"53107",0.244,51.416755,-2.485269
2023-09-01,"53108",1.6,51.38314,-2.325412
2023-09-01,"53109",3.8,51.360132,-2.138539
2023-09-01,"53110",3.2,51.341928,-2.266258
2023-09-01,"531101",0,51.633863,-2.371995
2023-09-01,"531108",3.4,51.237472,-2.325815
2023-09-01,"53111",1.2,51.315105,-2.495674
2023-09-01,"53113",5.6,51.290973,-1.963375
2023-09-01,"53114",5.325,51.230621,-2.486172
2023-09-01,"53115",4.607,51.210084,-2.450167
2023-09-01,"531172",1.599,51.277706,-2.608531
2023-09-01,"531175",0,51.546033,-2.267448
2023-09-01,"531178",0.083,51.596598,-2.146477
2023-09-01,"531179",0,51.460233,-2.609517
2023-09-01,"531184",13.6,51.236826,-2.216949
2023-09-01,"53159",0.243,51.366659,-2.621201
2023-09-01,"540001RG",7.4,51.527809,0.085279
2023-09-01,"550148",0,53.410189,-3.10942
2023-09-01,"551440",0,53.276556,-2.854006
2023-09-01,"551706",0.1,53.055708,-2.6691
2023-09-01,"552376",0,52.965913,-2.459268
2023-09-01,"553564",0,53.113166,-2.501173
2023-09-01,"554472",0.3,53.169907,-2.103919
